key,binning,insp_bin,exp_bin,gas_snr_insp,gas_snr_exp,dp_snr_insp,dp_snr_exp,gas_snr_max,gas_max_bin,gas_snr_min,gas_min_bin,dp_snr_max,dp_max_bin,dp_snr_min,dp_min_bin,dp_method,rbc_snr_max,rbc_max_bin,rbc_snr_min,rbc_min_bin,rbc_snr_ei,tp_snr_max,tp_max_bin,tp_snr_min,tp_min_bin,tp_snr_ei,rbc_snr_per_bin,tp_snr_per_bin,lung_vox_insp,lung_vox_exp,gas_sigma_insp,gas_sigma_exp,bg_voxels,bins,gas_snr_per_bin,dp_snr_per_bin,lung_vox_per_bin,error
2023-11-02_025VP,d,8,0,19.13,14.71,10.94,9.78,19.30,9,14.71,0,12.86,10,9.70,15,"unsplit: whitened |z|, Rician-corrected",,,,,,,,,,,,,36598,26946,495.85,412.92,8000,16,14.7 14.9 15.7 16.6 17.3 17.8 18.9 18.9 19.1 19.3 18.5 17.4 17.0 16.5 15.4 15.0,9.8 10.2 10.5 10.0 9.8 10.5 11.0 10.8 10.9 11.7 12.9 12.8 12.8 12.3 10.2 9.7,26946 28125 29980 31672 32771 33728 35743 35910 36598 36232 34026 32562 31512 30704 28630 27259,
2023-11-02_025VP_merged,d,8,0,14.69,8.71,8.36,5.44,14.69,8,8.71,0,8.36,8,5.44,0,"split: whitened |z|, Rician-corrected",5.51,2,4.13,14,5.13,-0.51,14,-1.18,1,-0.66,4.4 5.0 5.5 5.4 4.7 4.7 4.8 5.1 5.1 4.8 4.7 4.4 4.3 4.2 4.1 4.4,-1.0 -1.2 -1.1 -1.0 -0.8 -0.7 -0.8 -0.7 -0.7 -0.7 -0.6 -0.7 -0.8 -0.6 -0.5 -0.8,27686,14029,755.23,940.54,8000,16,8.7 9.0 9.8 10.7 12.0 12.4 13.1 14.2 14.7 13.8 12.6 11.6 10.4 9.5 9.2 9.0,5.4 5.9 6.6 7.9 7.8 7.6 7.3 7.8 8.4 7.7 7.3 6.9 6.4 6.1 6.3 6.0,14029 15131 17434 19814 22953 24016 25086 26868 27686 26375 24264 22018 19155 16898 15478 14838,
2024-01-31_008CR,d,1,12,29.43,16.48,nan,nan,29.43,1,16.48,12,,,,,none (gas-only acquisition),,,,,,,,,,,,,67491,50178,1372.41,1257.46,8000,16,29.1 29.4 26.8 23.2 19.7 17.4 16.8 17.1 17.1 17.1 16.8 16.8 16.5 17.8 22.0 26.0,,63754 67491 64325 58191 54674 52386 51673 53274 52754 51987 52518 51980 50178 51520 55941 62444,
2024-01-31_008CR_merged,d,1,6,31.85,17.46,nan,nan,32.45,0,17.46,6,,,,,none (gas-only acquisition),,,,,,,,,,,,,70878,53160,1132.75,1279.44,8000,16,32.5 31.9 28.3 24.1 20.7 19.0 17.5 17.6 18.4 19.4 19.5 18.8 18.8 19.4 23.6 29.7,,70290 70878 65588 58980 55225 55357 53160 53704 56118 58456 58015 55767 56424 56500 61342 68286,
2024-03-06_030DN,d,7,0,24.87,10.13,15.79,11.35,26.45,5,10.13,0,19.72,5,10.53,2,"split: whitened |z|, Rician-corrected (untagged, pre-40d23a4)",-1.61,1,-3.36,4,-2.32,7.54,5,3.45,1,5.29,-1.8 -1.6 -2.0 -3.0 -3.4 -3.2 -2.5 -2.3 -2.1 -2.1 -2.1 -2.2 -2.5 -2.3 -2.4 -2.2,3.6 3.4 4.2 6.2 7.4 7.5 5.8 5.3 4.9 4.8 4.8 4.8 5.5 4.8 4.7 4.4,97506,36904,588.84,413.08,8000,16,10.1 10.5 13.6 19.4 24.6 26.5 25.5 24.9 23.6 20.9 17.4 15.3 13.8 12.8 11.6 10.6,11.3 10.9 10.5 15.7 19.0 19.7 18.1 15.8 16.0 15.4 14.6 12.7 11.6 12.2 12.5 11.3,36904 41734 56536 73574 88245 95787 97242 97506 95549 89379 78439 65842 54672 48431 42523 38373,
2024-03-06_030DN_merged,d,8,1,27.72,9.53,18.22,13.08,29.68,7,9.53,1,22.31,6,9.67,3,"split: whitened |z|, Rician-corrected",-1.81,2,-3.29,6,-2.75,7.54,6,3.90,2,6.31,-1.9 -2.0 -1.8 -2.2 -2.9 -3.2 -3.3 -2.8 -2.7 -2.8 -2.3 -2.4 -2.4 -2.3 -1.9 -1.9,4.0 4.4 3.9 4.5 6.1 7.2 7.5 6.4 6.3 6.4 5.4 5.3 5.3 4.9 4.1 4.0,101734,33837,472.04,397.61,8000,16,10.0 9.5 9.8 13.4 19.0 25.6 29.5 29.7 27.7 26.2 22.7 18.4 16.1 13.9 12.1 11.0,11.8 13.1 9.8 9.7 15.5 21.3 22.3 20.0 18.2 16.3 16.4 14.8 13.1 13.0 13.6 11.8,35090 33837 37970 54585 69194 85257 96755 101401 101734 99856 92359 78944 65045 52696 45109 39518,
2024-08-12_013VM,d,7,0,27.44,18.37,11.91,7.10,28.27,6,18.37,0,12.96,6,7.10,0,"split: whitened |z|, Rician-corrected (untagged, pre-40d23a4)",5.91,5,2.57,0,5.16,-1.20,0,-2.52,6,-2.35,2.6 2.7 3.0 3.2 4.5 5.9 5.7 5.2 4.9 4.9 4.4 3.9 3.5 3.2 3.4 3.1,-1.2 -1.2 -1.4 -1.5 -2.0 -2.5 -2.5 -2.4 -2.2 -2.2 -2.0 -1.9 -1.6 -1.4 -1.5 -1.3,105456,71754,773.26,522.11,8000,16,18.4 18.7 19.2 21.0 24.5 27.1 28.3 27.4 26.9 25.6 23.8 22.4 22.2 21.4 20.2 18.8,7.1 8.0 8.4 8.2 9.4 12.3 13.0 11.9 11.2 11.9 11.5 9.9 9.1 9.1 8.9 8.2,71754 74511 78252 83643 93540 100318 104798 105456 104797 102592 97389 90164 86660 82109 77974 73586,
2024-08-12_013VM_merged,d,7,0,30.11,19.54,14.81,7.48,30.91,6,19.54,0,14.81,7,7.48,0,"split: whitened |z|, Rician-corrected",8.28,6,3.27,1,8.12,-1.34,1,-3.19,6,-3.15,3.4 3.3 3.6 4.6 6.4 8.2 8.3 8.1 7.2 6.1 5.5 5.4 5.3 5.2 5.1 4.3,-1.3 -1.3 -1.6 -1.9 -2.5 -3.1 -3.2 -3.2 -2.7 -2.3 -2.1 -2.2 -2.1 -1.9 -1.9 -1.6,107288,71847,668.93,441.90,8000,16,19.5 19.6 20.5 22.1 26.4 29.4 30.9 30.1 28.3 26.7 24.9 24.9 23.7 22.7 21.9 20.1,7.5 7.7 9.3 10.7 12.7 13.7 14.5 14.8 14.4 13.2 11.5 10.7 11.3 11.1 10.6 9.0,71847 74884 79884 85083 95376 102901 107260 107288 104333 100729 93888 89953 85225 81216 78092 73500,
